q,I_total,P_single,S_eff
1.000000000000000021e-02,3.815857590055410285e+06,3.815857590055410285e+06,1.000000000000000000e+00
2.502512562814070488e-02,3.614725395376449451e+06,3.614725395376448520e+06,1.000000000000000222e+00
4.005025125628140781e-02,3.268680673479416873e+06,3.268680673479417339e+06,9.999999999999998890e-01
5.507537688442211421e-02,2.821898677421432920e+06,2.821898677421432920e+06,1.000000000000000000e+00
7.010050251256282061e-02,2.327378661836911924e+06,2.327378661836911459e+06,1.000000000000000222e+00
8.512562814070351314e-02,1.837245029233210953e+06,1.837245029233210953e+06,1.000000000000000000e+00
1.001507537688442195e-01,1.394196733144689817e+06,1.394196733144689817e+06,1.000000000000000000e+00
1.151758793969849259e-01,1.025908170949163265e+06,1.025908170949163265e+06,1.000000000000000000e+00
1.302010050251256323e-01,7.432796855985197471e+05,7.432796855985197471e+05,1.000000000000000000e+00
1.452261306532663387e-01,5.423748426730256760e+05,5.423748426730256760e+05,1.000000000000000000e+00
1.602512562814070451e-01,4.089823326079589315e+05,4.089823326079589315e+05,1.000000000000000000e+00
1.752763819095477515e-01,3.242436577546836343e+05,3.242436577546836343e+05,1.000000000000000000e+00
1.903015075376884579e-01,2.697885340665646945e+05,2.697885340665646945e+05,1.000000000000000000e+00
2.053266331658291644e-01,2.312507878557426448e+05,2.312507878557426156e+05,1.000000000000000222e+00
2.203517587939698708e-01,1.997076999089274323e+05,1.997076999089274905e+05,9.999999999999996669e-01
2.353768844221105772e-01,1.712568245959900378e+05,1.712568245959900378e+05,1.000000000000000000e+00
2.504020100502512558e-01,1.454133845439032302e+05,1.454133845439032302e+05,1.000000000000000000e+00
2.654271356783919900e-01,1.231722641856129485e+05,1.231722641856129485e+05,1.000000000000000000e+00
2.804522613065326686e-01,1.054426200013843772e+05,1.054426200013843772e+05,1.000000000000000000e+00
2.954773869346734028e-01,9.223649311378052516e+04,9.223649311378052516e+04,1.000000000000000000e+00
3.105025125628140814e-01,8.262508921263684169e+04,8.262508921263684169e+04,1.000000000000000000e+00
3.255276381909548156e-01,7.520136303041916108e+04,7.520136303041916108e+04,1.000000000000000000e+00
3.405527638190954942e-01,6.867925953777068935e+04,6.867925953777068935e+04,1.000000000000000000e+00
3.555778894472362284e-01,6.231750660161434644e+04,6.231750660161433916e+04,1.000000000000000222e+00
3.706030150753769070e-01,5.601803641465612600e+04,5.601803641465612600e+04,1.000000000000000000e+00
3.856281407035176412e-01,5.012890281174999836e+04,5.012890281174999836e+04,1.000000000000000000e+00
4.006532663316583198e-01,4.510407633681665902e+04,4.510407633681665902e+04,1.000000000000000000e+00
4.156783919597990540e-01,4.120146725097348099e+04,4.120146725097348099e+04,1.000000000000000000e+00
4.307035175879397326e-01,3.834489561422509723e+04,3.834489561422509723e+04,1.000000000000000000e+00
4.457286432160804668e-01,3.617717985090203729e+04,3.617717985090203729e+04,1.000000000000000000e+00
4.607537688442211454e-01,3.424111634731906815e+04,3.424111634731906815e+04,1.000000000000000000e+00
4.757788944723618796e-01,3.218038037099405119e+04,3.218038037099405119e+04,1.000000000000000000e+00
4.908040201005025582e-01,2.986403220313821294e+04,2.986403220313821294e+04,1.000000000000000000e+00
5.058291457286432369e-01,2.739068289276197174e+04,2.739068289276197174e+04,1.000000000000000000e+00
5.208542713567839710e-01,2.499085795259565566e+04,2.499085795259565566e+04,1.000000000000000000e+00
5.358793969849247052e-01,2.288908447424368933e+04,2.288908447424368933e+04,1.000000000000000000e+00
5.509045226130653283e-01,2.119490079676307141e+04,2.119490079676307141e+04,1.000000000000000000e+00
5.659296482412060625e-01,1.986697551532405487e+04,1.986697551532405487e+04,1.000000000000000000e+00
5.809547738693467966e-01,1.875366669341317902e+04,1.875366669341317902e+04,1.000000000000000000e+00
5.959798994974875308e-01,1.767785443076781303e+04,1.767785443076781303e+04,1.000000000000000000e+00
6.110050251256281539e-01,1.651905692069173892e+04,1.651905692069174256e+04,9.999999999999997780e-01
6.260301507537688881e-01,1.525511927799146542e+04,1.525511927799146542e+04,1.000000000000000000e+00
6.410552763819096223e-01,1.395097956100768351e+04,1.395097956100767988e+04,1.000000000000000222e+00
6.560804020100503564e-01,1.270893371179607493e+04,1.270893371179607311e+04,1.000000000000000222e+00
6.711055276381909795e-01,1.161061744950919820e+04,1.161061744950919820e+04,1.000000000000000000e+00
6.861306532663317137e-01,1.067991496687274594e+04,1.067991496687274957e+04,9.999999999999996669e-01
7.011557788944724479e-01,9.881241893490787334e+03,9.881241893490787334e+03,1.000000000000000000e+00
7.161809045226131820e-01,9.148220317598465044e+03,9.148220317598466863e+03,9.999999999999997780e-01
7.312060301507538052e-01,8.423649063289003607e+03,8.423649063289003607e+03,1.000000000000000000e+00
7.462311557788945393e-01,7.688900249931645703e+03,7.688900249931646613e+03,9.999999999999998890e-01
7.612562814070352735e-01,6.969193788694204159e+03,6.969193788694204159e+03,1.000000000000000000e+00
7.762814070351758966e-01,6.315055920892163158e+03,6.315055920892163158e+03,1.000000000000000000e+00
7.913065326633166308e-01,5.772159296585409720e+03,5.772159296585409720e+03,1.000000000000000000e+00
8.063316582914573649e-01,5.356100005705362491e+03,5.356100005705362491e+03,1.000000000000000000e+00
8.213567839195980991e-01,5.044297093803407734e+03,5.044297093803408643e+03,9.999999999999997780e-01
8.363819095477387222e-01,4.787319291132696890e+03,4.787319291132697799e+03,9.999999999999997780e-01
8.514070351758794564e-01,4.532076391681007408e+03,4.532076391681007408e+03,1.000000000000000000e+00
8.664321608040201905e-01,4.244318927364774936e+03,4.244318927364774936e+03,1.000000000000000000e+00
8.814572864321609247e-01,3.919665531255988753e+03,3.919665531255987389e+03,1.000000000000000444e+00
8.964824120603015478e-01,3.579267231110509783e+03,3.579267231110510238e+03,9.999999999999998890e-01
9.115075376884422820e-01,3.254231895370840903e+03,3.254231895370840903e+03,1.000000000000000000e+00
9.265326633165830161e-01,2.967972135463797713e+03,2.967972135463797713e+03,1.000000000000000000e+00
9.415577889447237503e-01,2.725535514400540251e+03,2.725535514400540251e+03,1.000000000000000000e+00
9.565829145728643734e-01,2.514349613970297469e+03,2.514349613970297469e+03,1.000000000000000000e+00
9.716080402010051076e-01,2.314476323474285891e+03,2.314476323474286346e+03,9.999999999999997780e-01
9.866331658291458417e-01,2.111790496971595076e+03,2.111790496971594621e+03,1.000000000000000222e+00
1.001658291457286465e+00,1.906670871972462692e+03,1.906670871972462692e+03,1.000000000000000000e+00
1.016683417085427310e+00,1.713852126473752833e+03,1.713852126473752833e+03,1.000000000000000000e+00
1.031708542713567933e+00,1.554107872785522886e+03,1.554107872785522886e+03,1.000000000000000000e+00
1.046733668341708556e+00,1.442677079818587572e+03,1.442677079818587572e+03,1.000000000000000000e+00
1.061758793969849402e+00,1.380714255530778019e+03,1.380714255530778246e+03,9.999999999999998890e-01
1.076783919597990025e+00,1.354078700762997414e+03,1.354078700762997414e+03,1.000000000000000000e+00
1.091809045226130648e+00,1.339747421408264017e+03,1.339747421408263563e+03,1.000000000000000444e+00
1.106834170854271493e+00,1.316246357563132733e+03,1.316246357563132733e+03,1.000000000000000000e+00
1.121859296482412116e+00,1.272702428761437659e+03,1.272702428761437659e+03,1.000000000000000000e+00
1.136884422110552961e+00,1.212169140439557395e+03,1.212169140439557395e+03,1.000000000000000000e+00
1.151909547738693584e+00,1.148028701052635142e+03,1.148028701052635142e+03,1.000000000000000000e+00
1.166934673366834208e+00,1.095786827583113109e+03,1.095786827583113109e+03,1.000000000000000000e+00
1.181959798994975053e+00,1.064670883212902027e+03,1.064670883212902027e+03,1.000000000000000000e+00
1.196984924623115676e+00,1.053185352381261509e+03,1.053185352381261282e+03,1.000000000000000222e+00
1.212010050251256299e+00,1.050484890413792527e+03,1.050484890413792527e+03,1.000000000000000000e+00
1.227035175879397144e+00,1.042396855831572111e+03,1.042396855831571884e+03,1.000000000000000222e+00
1.242060301507537767e+00,1.018723736089840486e+03,1.018723736089840372e+03,1.000000000000000222e+00
1.257085427135678390e+00,9.781027567366041922e+02,9.781027567366043058e+02,9.999999999999998890e-01
1.272110552763819236e+00,9.282136349541957543e+02,9.282136349541958680e+02,9.999999999999998890e-01
1.287135678391959859e+00,8.815966858753007500e+02,8.815966858753007500e+02,1.000000000000000000e+00
1.302160804020100704e+00,8.494670773955152754e+02,8.494670773955149343e+02,1.000000000000000444e+00
1.317185929648241327e+00,8.366695388326548937e+02,8.366695388326547800e+02,1.000000000000000222e+00
1.332211055276381950e+00,8.400629685027276992e+02,8.400629685027276992e+02,1.000000000000000000e+00
1.347236180904522795e+00,8.507320937107874670e+02,8.507320937107874670e+02,1.000000000000000000e+00
1.362261306532663419e+00,8.585315541296251922e+02,8.585315541296251922e+02,1.000000000000000000e+00
1.377286432160804042e+00,8.565146696397159758e+02,8.565146696397159758e+02,1.000000000000000000e+00
1.392311557788944887e+00,8.431616530910037000e+02,8.431616530910038136e+02,9.999999999999998890e-01
1.407336683417085510e+00,8.216787312928537403e+02,8.216787312928537403e+02,1.000000000000000000e+00
1.422361809045226355e+00,7.971992014734074701e+02,7.971992014734074701e+02,1.000000000000000000e+00
1.437386934673366978e+00,7.736649962755457182e+02,7.736649962755457182e+02,1.000000000000000000e+00
1.452412060301507601e+00,7.520828350343875854e+02,7.520828350343873581e+02,1.000000000000000222e+00
1.467437185929648447e+00,7.308863869543085912e+02,7.308863869543087048e+02,9.999999999999998890e-01
1.482462311557789070e+00,7.078909505787768239e+02,7.078909505787768239e+02,1.000000000000000000e+00
1.497487437185929693e+00,6.824887024724956746e+02,6.824887024724956746e+02,1.000000000000000000e+00
1.512512562814070538e+00,6.567138592614455774e+02,6.567138592614455774e+02,1.000000000000000000e+00
1.527537688442211161e+00,6.345510318645042389e+02,6.345510318645042389e+02,1.000000000000000000e+00
1.542562814070351784e+00,6.199058134777334317e+02,6.199058134777333180e+02,1.000000000000000222e+00
1.557587939698492630e+00,6.144137181536862045e+02,6.144137181536862045e+02,1.000000000000000000e+00
1.572613065326633253e+00,6.163348473403347043e+02,6.163348473403348180e+02,9.999999999999997780e-01
1.587638190954774098e+00,6.211626095319181786e+02,6.211626095319181786e+02,1.000000000000000000e+00
1.602663316582914721e+00,6.236323943283307472e+02,6.236323943283308608e+02,9.999999999999997780e-01
1.617688442211055344e+00,6.200721364834390670e+02,6.200721364834391807e+02,9.999999999999997780e-01
1.632713567839196189e+00,6.098818941188825420e+02,6.098818941188826557e+02,9.999999999999997780e-01
1.647738693467336812e+00,5.954226868046226855e+02,5.954226868046226855e+02,1.000000000000000000e+00
1.662763819095477436e+00,5.804481404379698688e+02,5.804481404379700962e+02,9.999999999999995559e-01
1.677788944723618281e+00,5.679607498506758247e+02,5.679607498506757111e+02,1.000000000000000222e+00
1.692814070351758904e+00,5.586291491787440009e+02,5.586291491787440009e+02,1.000000000000000000e+00
1.707839195979899527e+00,5.505526358246011114e+02,5.505526358246009977e+02,1.000000000000000222e+00
1.722864321608040372e+00,5.404160504241322087e+02,5.404160504241322087e+02,1.000000000000000000e+00
1.737889447236180995e+00,5.253498589201204823e+02,5.253498589201203686e+02,1.000000000000000222e+00
1.752914572864321840e+00,5.044775324412645432e+02,5.044775324412645432e+02,1.000000000000000000e+00
1.767939698492462464e+00,4.793500547058472421e+02,4.793500547058472421e+02,1.000000000000000000e+00
1.782964824120603087e+00,4.530943820050791828e+02,4.530943820050790691e+02,1.000000000000000222e+00
1.797989949748743932e+00,4.287896144128188212e+02,4.287896144128187643e+02,1.000000000000000222e+00
1.813015075376884555e+00,4.079671810396987439e+02,4.079671810396986302e+02,1.000000000000000222e+00
1.828040201005025178e+00,3.900221790255467909e+02,3.900221790255467909e+02,1.000000000000000000e+00
1.843065326633166023e+00,3.728022027162415384e+02,3.728022027162415384e+02,1.000000000000000000e+00
1.858090452261306647e+00,3.540009979777128137e+02,3.540009979777127569e+02,1.000000000000000222e+00
1.873115577889447492e+00,3.325702437887887299e+02,3.325702437887887299e+02,1.000000000000000000e+00
1.888140703517588115e+00,3.093838761824816288e+02,3.093838761824816288e+02,1.000000000000000000e+00
1.903165829145728738e+00,2.868176232348874919e+02,2.868176232348874919e+02,1.000000000000000000e+00
1.918190954773869583e+00,2.674998333220157747e+02,2.674998333220158315e+02,9.999999999999997780e-01
1.933216080402010206e+00,2.529278959985660151e+02,2.529278959985660435e+02,9.999999999999998890e-01
1.948241206030150829e+00,2.427003230908562443e+02,2.427003230908562159e+02,1.000000000000000222e+00
1.963266331658291675e+00,2.347698878453564362e+02,2.347698878453564362e+02,1.000000000000000000e+00
1.978291457286432298e+00,2.265715803934259327e+02,2.265715803934259327e+02,1.000000000000000000e+00
1.993316582914572921e+00,2.164168521930671716e+02,2.164168521930670863e+02,1.000000000000000444e+00
2.008341708542713544e+00,2.044133256421256988e+02,2.044133256421257556e+02,9.999999999999996669e-01
2.023366834170854389e+00,1.924278442564378508e+02,1.924278442564379361e+02,9.999999999999995559e-01
2.038391959798994790e+00,1.831157805341618712e+02,1.831157805341618712e+02,1.000000000000000000e+00
2.053417085427135635e+00,1.785224433429978035e+02,1.785224433429978035e+02,1.000000000000000000e+00
2.068442211055276481e+00,1.789742530342305713e+02,1.789742530342305713e+02,1.000000000000000000e+00
2.083467336683416882e+00,1.828167274504186821e+02,1.828167274504186821e+02,1.000000000000000000e+00
2.098492462311557727e+00,1.871167409829354540e+02,1.871167409829354540e+02,1.000000000000000000e+00
2.113517587939698572e+00,1.889612553197052023e+02,1.889612553197052307e+02,9.999999999999998890e-01
2.128542713567838973e+00,1.867018341134852619e+02,1.867018341134852619e+02,1.000000000000000000e+00
2.143567839195979818e+00,1.805488832985136014e+02,1.805488832985136014e+02,1.000000000000000000e+00
2.158592964824120664e+00,1.722693969655930744e+02,1.722693969655930744e+02,1.000000000000000000e+00
2.173618090452261065e+00,1.641965393418980739e+02,1.641965393418980739e+02,1.000000000000000000e+00
2.188643216080401910e+00,1.580839795052114596e+02,1.580839795052114596e+02,1.000000000000000000e+00
2.203668341708542755e+00,1.543756682135291669e+02,1.543756682135291669e+02,1.000000000000000000e+00
2.218693467336683156e+00,1.522101254847376595e+02,1.522101254847376879e+02,9.999999999999997780e-01
2.233718592964824001e+00,1.500825758493789976e+02,1.500825758493789976e+02,1.000000000000000000e+00
2.248743718592964846e+00,1.467594370193993143e+02,1.467594370193993143e+02,1.000000000000000000e+00
2.263768844221105692e+00,1.419425031796207008e+02,1.419425031796207008e+02,1.000000000000000000e+00
2.278793969849246093e+00,1.363505935264651043e+02,1.363505935264651043e+02,1.000000000000000000e+00
2.293819095477386938e+00,1.312196630804792790e+02,1.312196630804792790e+02,1.000000000000000000e+00
2.308844221105527783e+00,1.275345258586811497e+02,1.275345258586811354e+02,1.000000000000000222e+00
2.323869346733668184e+00,1.254332344043711629e+02,1.254332344043711913e+02,9.999999999999997780e-01
2.338894472361809029e+00,1.241105399664184716e+02,1.241105399664184716e+02,1.000000000000000000e+00
2.353919597989949875e+00,1.222619730992465321e+02,1.222619730992465321e+02,1.000000000000000000e+00
2.368944723618090276e+00,1.188138603645362821e+02,1.188138603645362821e+02,1.000000000000000000e+00
2.383969849246231121e+00,1.135353112935085704e+02,1.135353112935085420e+02,1.000000000000000222e+00
2.398994974874371966e+00,1.072001936976077161e+02,1.072001936976077445e+02,9.999999999999997780e-01
2.414020100502512367e+00,1.012148489256554740e+02,1.012148489256554598e+02,1.000000000000000222e+00
2.429045226130653212e+00,9.691386980857193123e+01,9.691386980857193123e+01,1.000000000000000000e+00
2.444070351758794057e+00,9.489872551817617818e+01,9.489872551817617818e+01,1.000000000000000000e+00
2.459095477386934459e+00,9.476441250849528330e+01,9.476441250849528330e+01,1.000000000000000000e+00
2.474120603015075304e+00,9.534872514606487925e+01,9.534872514606487925e+01,1.000000000000000000e+00
2.489145728643216149e+00,9.536267045654012975e+01,9.536267045654012975e+01,1.000000000000000000e+00
2.504170854271356550e+00,9.406534603090989322e+01,9.406534603090989322e+01,1.000000000000000000e+00
2.519195979899497395e+00,9.163192237172779642e+01,9.163192237172781063e+01,9.999999999999998890e-01
2.534221105527638240e+00,8.903167430346377387e+01,8.903167430346377387e+01,1.000000000000000000e+00
2.549246231155779085e+00,8.749142709012321006e+01,8.749142709012321006e+01,1.000000000000000000e+00
2.564271356783919487e+00,8.783162282493707096e+01,8.783162282493705675e+01,1.000000000000000222e+00
2.579296482412060332e+00,9.001944117846259985e+01,9.001944117846259985e+01,1.000000000000000000e+00
2.594321608040201177e+00,9.316171292810986415e+01,9.316171292810986415e+01,1.000000000000000000e+00
2.609346733668341578e+00,9.592875363353792295e+01,9.592875363353792295e+01,1.000000000000000000e+00
2.624371859296482423e+00,9.718188542175305145e+01,9.718188542175303724e+01,1.000000000000000222e+00
2.639396984924623268e+00,9.648385987260458307e+01,9.648385987260458307e+01,1.000000000000000000e+00
2.654422110552763669e+00,9.424535968882565840e+01,9.424535968882568682e+01,9.999999999999996669e-01
2.669447236180904515e+00,9.145682485600629263e+01,9.145682485600629263e+01,1.000000000000000000e+00
2.684472361809045360e+00,8.916664340284333434e+01,8.916664340284333434e+01,1.000000000000000000e+00
2.699497487437185761e+00,8.798461111493720921e+01,8.798461111493720921e+01,1.000000000000000000e+00
2.714522613065326606e+00,8.785755034543632291e+01,8.785755034543630870e+01,1.000000000000000222e+00
2.729547738693467451e+00,8.820652235164496346e+01,8.820652235164499189e+01,9.999999999999996669e-01
2.744572864321607852e+00,8.832069504391249382e+01,8.832069504391247960e+01,1.000000000000000222e+00
2.759597989949748698e+00,8.777521765364812723e+01,8.777521765364812723e+01,1.000000000000000000e+00
2.774623115577889543e+00,8.664318914603364874e+01,8.664318914603364874e+01,1.000000000000000000e+00
2.789648241206029944e+00,8.539721934023147298e+01,8.539721934023147298e+01,1.000000000000000000e+00
2.804673366834170789e+00,8.457190466383627836e+01,8.457190466383627836e+01,1.000000000000000000e+00
2.819698492462311634e+00,8.438868482859102471e+01,8.438868482859102471e+01,1.000000000000000000e+00
2.834723618090452479e+00,8.456077806432502086e+01,8.456077806432502086e+01,1.000000000000000000e+00
2.849748743718592880e+00,8.439295880557865814e+01,8.439295880557865814e+01,1.000000000000000000e+00
2.864773869346733726e+00,8.312726489731132062e+01,8.312726489731134905e+01,9.999999999999996669e-01
2.879798994974874571e+00,8.035047202560812707e+01,8.035047202560812707e+01,1.000000000000000000e+00
2.894824120603014972e+00,7.624416862080330759e+01,7.624416862080332180e+01,9.999999999999997780e-01
2.909849246231155817e+00,7.154048334242156670e+01,7.154048334242158091e+01,9.999999999999997780e-01
2.924874371859296662e+00,6.720060045480011013e+01,6.720060045480013855e+01,9.999999999999995559e-01
2.939899497487437063e+00,6.397694845646183381e+01,6.397694845646183381e+01,1.000000000000000000e+00
2.954924623115577909e+00,6.207843316595113947e+01,6.207843316595113947e+01,1.000000000000000000e+00
2.969949748743718754e+00,6.110266942783646016e+01,6.110266942783645305e+01,1.000000000000000222e+00
2.984974874371859155e+00,6.026117233574840526e+01,6.026117233574840526e+01,1.000000000000000000e+00
3.000000000000000000e+00,5.877614797014779668e+01,5.877614797014779668e+01,1.000000000000000000e+00
