q_nm^-1,Iq_mean,Sq_mean
1.000000000000000021e-02,2.812752918312759399e+10,7.371654350744624828e+00
1.064785977823349064e-02,1.863892421744248199e+10,4.891247217615748433e+00
1.133769178569226169e-02,9.742147912925807953e+09,2.560085998926060036e+00
1.207221523428808792e-02,4.132716474786862850e+09,1.087497809116029890e+00
1.285432550273537221e-02,2.669571298960266590e+09,7.038351459051941372e-01
1.368710554968970323e-02,4.168847018925400734e+09,1.102336377820231528e+00
1.457383806629773855e-02,6.239535997863119125e+09,1.654694314175233050e+00
1.551801841606198322e-02,6.753124687841025352e+09,1.796522529611177088e+00
1.652336841302730688e-02,5.154435727647422791e+09,1.376153026457846540e+00
1.759385099260072152e-02,2.730109490197605610e+09,7.321034186997185111e-01
1.873368583283466920e-02,1.400792344160483122e+09,3.778339542568295295e-01
1.994736598775028250e-02,1.809614914328614712e+09,4.905911314511438581e-01
2.123967559826690082e-02,2.677585996749000549e+09,7.293949639649723871e-01
2.261570875055134849e-02,2.544194131420689583e+09,6.965470554512661616e-01
2.408088955612390156e-02,1.786633760474076033e+09,4.910975208793763036e-01
2.564099353287346145e-02,1.728234544850886822e+09,4.779690745790528550e-01
2.730217037126285093e-02,2.188637037102857113e+09,6.115864663758199260e-01
2.907096817546478418e-02,2.027993754585537434e+09,5.729115317941636532e-01
3.095435927498373443e-02,1.676890667212037802e+09,4.798238544078273771e-01
3.295976770850880810e-02,1.998666524923918962e+09,5.788661789686664338e-01
3.509509848833501644e-02,1.893576810949961185e+09,5.547330169116455600e-01
3.736876876070854142e-02,1.496175206770152569e+09,4.494778661944104359e-01
3.978974098492567973e-02,1.868577232915497541e+09,5.786085727629892705e-01
4.236755826197188129e-02,1.900861713281785488e+09,6.024350980115079635e-01
4.511238195196144024e-02,1.963893525686574459e+09,6.258420490257747826e-01
4.803503172865966619e-02,2.083525348001434326e+09,6.774945241874057444e-01
5.114702822897650852e-02,2.069502279499060392e+09,6.923143267912643672e-01
5.446063846554921595e-02,2.180899375773505688e+09,7.600436448053715655e-01
5.798892418142371358e-02,2.397447423512417793e+09,8.779825940244915250e-01
6.174579333744130427e-02,2.264631965238719940e+09,8.615766999074339072e-01
6.574605493528587474e-02,2.126546619117218733e+09,8.647702392155103279e-01
7.000547739229598387e-02,2.240460328947254658e+09,9.874959950300240541e-01
7.454085069814628262e-02,2.342803923196673393e+09,1.104836736744315040e+00
7.937005259840999860e-02,2.259229700562335968e+09,1.125188987237240923e+00
8.451211906588863843e-02,2.050505044166096449e+09,1.101493558373283665e+00
8.998731933749552769e-02,1.962731998837200880e+09,1.199380054831884479e+00
9.581723581247714172e-02,1.678400038609539747e+09,1.110339723372312459e+00
1.020248491269189484e-01,1.354205461218540668e+09,1.058307380055979907e+00
1.086346287398860522e-01,1.196527153449960709e+09,1.112012282251678474e+00
1.156726293882760770e-01,1.083552436231091499e+09,1.067205394345170699e+00
1.231665937905934705e-01,8.557172177124404907e+08,9.859329185740233203e-01
1.311460620044883063e-01,6.575046987929580212e+08,9.075765530085775357e-01
1.396424878691306382e-01,6.209036118118458986e+08,1.090062555306284597e+00
1.486893629914174952e-01,5.409131236304943562e+08,9.858632389534939255e-01
1.583223487647473782e-01,4.325276989213539362e+08,9.850078787127832802e-01
1.685794169407608400e-01,4.842513916244825125e+08,1.012296592768546555e+00
1.795009993081581601e-01,3.823997308102360368e+08,9.663125567148650452e-01
1.911301470686055104e-01,3.019056853367064595e+08,1.141461547974385926e+00
2.035127005379656073e-01,2.733339688589199781e+08,9.341247666929340943e-01
2.166974698417882539e-01,2.346777763658613563e+08,8.944631121159190013e-01
2.307364273173342084e-01,2.682875368839796484e+08,8.958967568354070377e-01
2.456849123805539270e-01,1.822253695544127226e+08,8.854088553980158371e-01
2.616018496655719283e-01,1.513195083039960265e+08,1.029618856864970011e+00
2.785499812965527844e-01,1.456966065940321386e+08,1.048034933062685470e+00
2.965961142075256851e-01,1.259480329044605792e+08,1.042632517151673488e+00
3.158113834850659885e-01,1.139361303480375260e+08,1.045785349254004348e+00
3.362715327718906466e-01,9.965414263105742633e+07,1.040651001576968326e+00
3.580572128366741325e-01,1.008255866743865311e+08,9.737378553963441652e-01
3.812542994870010693e-01,9.502381105806477368e+07,1.042604835545411168e+00
4.059542320786224123e-01,8.811454202190533280e+07,1.144694499621577988e+00
4.322543739553629805e-01,7.726064974789336324e+07,8.418642173838113418e-01
4.602583962404807605e-01,5.118978238325904310e+07,8.794247608726039056e-01
4.900766864923267185e-01,4.073440609646462649e+07,1.025092439981318826e+00
5.218267838351592358e-01,4.592073734777126461e+07,8.498646749258481625e-01
5.556338422803334121e-01,3.904654698717835546e+07,1.026286786075767399e+00
5.916311240642093683e-01,3.572640164096949995e+07,8.299214365715126274e-01
6.299605249474365953e-01,2.986298793819527701e+07,9.092098872529765785e-01
6.707731335462665534e-01,2.551349292045159638e+07,1.018717476698863811e+00
7.142298269006933653e-01,2.432701229042468220e+07,9.314134819584245495e-01
7.605019046270565797e-01,1.970601708538883179e+07,8.980957272898301147e-01
8.097717641548397571e-01,1.729988306362336874e+07,9.666701640244861338e-01
8.622336197093494192e-01,1.528277653797347471e+07,8.402978264385488893e-01
9.180942678743857499e-01,1.454166184569264017e+07,9.961635230145120534e-01
9.775739027526396674e-01,1.198569166441307217e+07,9.791760230535524467e-01
1.040906983937057495e+00,9.625499115378480405e+06,1.026172421941918156e+00
1.108343160714572839e+00,9.345177794706691056e+06,1.071977087981923704e+00
1.180148256145287844e+00,8.285622695028364658e+06,1.016096855920011643e+00
1.256605314896180436e+00,7.372023940719282255e+06,1.068297242150712423e+00
1.338015718959747025e+00,6.089330467649454251e+06,1.060851561102063245e+00
1.424700375655566953e+00,4.911526264735294506e+06,8.638621632402496697e-01
1.517000982597705772e+00,4.804912984874099493e+06,9.769186403563885346e-01
1.615281374614279342e+00,4.198761441118982621e+06,9.537549573727300833e-01
1.719928957928508861e+00,3.008297914531250950e+06,1.118269483139165965e+00
1.831356237254601060e+00,2.429069555710521061e+06,9.795504435914601515e-01
1.950002441828029731e+00,2.470415937951381318e+06,8.560854448852426302e-01
2.076335256779779037e+00,2.120878410554488190e+06,1.058810684404777103e+00
2.210852666679351763e+00,1.716600284665498883e+06,1.036665307145016035e+00
2.354084918513532187e+00,1.193348534759094473e+06,1.085285354823722903e+00
2.506596611838630473e+00,1.108501552782438695e+06,1.034666513198265525e+00
2.668988924345289782e+00,9.740285684795323759e+05,1.074565880720761424e+00
2.841901981608688121e+00,8.648503910443268251e+05,1.018517829844098443e+00
3.026017380365323195e+00,6.334663721530111507e+05,1.068617211564290015e+00
3.222060875262739987e+00,4.308155717187759583e+05,1.018637460210779722e+00
3.430805239672992446e+00,3.966039935049436754e+05,9.323286898069389483e-01
3.653073311846676940e+00,2.415408230202843843e+05,9.169751924499838225e-01
3.889741238415044045e+00,1.807127814591581700e+05,1.154579119385737318e+00
4.141741928025567177e+00,1.377051357114812708e+05,9.799645674858608047e-01
4.410068728724670706e+00,8.874732685225017485e+04,9.158578498682710123e-01
4.695779343583272869e+00,4.876229292469859502e+04,1.043764690378823357e+00
5.000000000000000888e+00,3.217567526232516320e+04,8.466135650913291233e-01
